MSB	PRG	LSB	NME
105	000	000	Standrd2
105	008	000	RoomKit2
105	016	000	PowerKt2
105	024	000	DanceKit
105	025	000	Rave Kit
105	032	000	JazzKit2
105	040	000	BrushKt2
106	000	000	StStdKit
106	008	000	StRoomKt
106	016	000	StPwrKit
106	024	000	Rust Kit
106	025	000	Anal.Kt2
106	032	000	StJazzKt
106	040	000	SBrushKt
107	000	000	AmbStdrd
107	008	000	Amb.Room
107	016	000	GatedPwr
107	024	000	TechnoKt
107	025	000	BullyKit
107	032	000	Amb.Jazz
107	040	000	AmbBrush
097	000	016	Acou.Pno
097	000	017	AcouPnoK
097	000	018	Mild Pno
098	000	016	St.Pno 1
098	000	017	St.Pno1K
098	000	018	EuropePf
099	000	016	SD Piano
099	000	017	SDPianoK
099	000	018	Class Pf
097	001	016	Rock Pno
097	001	017	RockPnoK
098	001	016	St.Pno 2
098	001	017	St.Pno2K
099	001	016	EnhPiano
099	001	017	Enh.PnoK
097	002	016	EGrdPno2
097	002	017	EGrPno2K
098	002	016	SA Piano
098	002	017	SAPianoK
099	002	016	EnhElGrd
099	002	017	EnhEGrdK
097	003	016	OldHonky
097	003	017	OldHnkyK
098	003	016	St.Honky
098	003	017	StHonkyK
099	003	016	BrtHonky
099	003	017	BrtHnkyK
097	004	016	SftRhode
097	004	017	FatRhode
097	004	018	Rhodes K
097	004	019	WurlySft
098	004	016	TrmRhode
098	004	017	SwtTynes
098	004	018	Trm.Dyno
098	004	019	TrmWurly
099	004	016	Stage 73
099	004	017	NY Rhode
099	004	018	Phs.Dyno
099	004	019	Whirly
097	005	016	FM ElPno
097	005	017	SoftFMEP
097	005	018	SA ElPno
097	005	019	DXLegnd2
097	005	020	DXPhase2
098	005	016	HardFMEP
098	005	017	Brt.FMEP
098	005	018	BrtFMEP2
098	005	019	DXLegnd3
098	005	020	DXPhase3
099	005	016	ChorusEP
099	005	017	Phs.FMEP
099	005	018	Wah FMEP
099	005	019	EnhLegnd
099	005	020	PhasinEP
097	006	016	Hpschrd4
097	006	017	Hpschrd5
097	006	018	Hpschd4K
097	006	019	Hpschrd6
098	006	016	St.Hrpsi
098	006	017	StHrpsi3
098	006	018	StHrpsiK
098	006	019	StHrpsi2
099	006	016	EnhHrpsi
099	006	017	EnHrpsi3
099	006	018	EnHrpsiK
099	006	019	EnHrpsi2
097	007	016	AtkClavi
097	007	017	AnlClavi
098	007	016	AtkClv 2
098	007	017	AnlClv 2
099	007	016	CmpClavi
099	007	017	WahClavi
097	008	016	Celesta2
098	008	016	StCelest
099	008	016	CelestaK
097	009	016	Glocken2
098	009	016	St.Glock
099	009	016	TrmGlock
097	010	016	MusicBx2
098	010	016	StMusBox
099	010	016	Pan Box
097	011	016	Vibrafn2
097	011	017	Vibrfn2K
098	011	016	StVibrfn
098	011	017	StVbrfnK
099	011	016	TrmVbrfn
099	011	017	TrmVibrK
097	012	016	Marimba2
097	012	017	Marmba2K
098	012	016	StMarmba
098	012	017	StMrmbaK
099	012	016	EnhMrmba
099	012	017	EnMrmbaK
097	013	016	Xylofon2
098	013	016	StXylofn
099	013	016	Enh.Xylo
097	014	016	TubeBel2
097	014	017	ChchBel2
097	014	018	Carilln2
098	014	016	St.Tubul
098	014	017	StChurch
098	014	018	StCariln
099	014	016	TrmTubul
099	014	017	EchoChch
099	014	018	TrmCaril
097	015	016	Santur
098	015	016	StSantur
099	015	016	EnhSantr
097	018	016	FstRokOr
098	018	016	RockOrg2
099	018	016	RokrSpin
097	040	016	Violin v
097	040	017	SlwVln v
098	040	016	Violn2 v
098	040	017	SlVln2 v
099	040	016	EnhVioln
099	040	017	EnhSlVln
097	041	016	Viola v
098	041	016	Viola2 v
099	041	016	EnhViola
097	042	016	Cello v
098	042	016	Cello2 v
099	042	016	EnhCello
097	043	016	ContrB v
098	043	016	CntrB2 v
099	043	016	EnhContr
097	044	016	TremStr2
098	044	016	StTrmStr
099	044	016	StTrStr2
097	045	016	PizzStr2
098	045	016	St.Pizz.
099	045	016	ChorPizz
097	046	016	Harp 2
097	046	017	YangQin2
098	046	016	St. Harp
098	046	017	StYanQin
099	046	016	ChorHarp
099	046	017	EnhYngQn
097	047	016	Timpani2
098	047	016	StTimpni
099	047	016	EnhTmpni
097	048	016	Strings3
097	048	017	OrchStr2
097	048	018	Oct.Str.
098	048	016	StStrngs
098	048	017	St.OrStr
098	048	018	StOctStr
099	048	016	StStrng2
099	048	017	StOrStr2
099	048	018	StOcStr2
097	056	016	Solo Trp
097	056	017	Mild Trp
098	056	016	RmntcTrp
098	056	017	DkTrpVib
099	056	016	EnhTrmpt
099	056	017	Warm Trp
097	059	016	MuteTrp3
097	059	017	HrmoMTrp
098	059	016	SoloMTrp
098	059	017	HrmMTrp2
099	059	016	EnhMuTrp
099	059	017	EnMuTrp2
097	061	016	BrsSecFF
097	061	017	BrsSect3
098	061	016	St.Brass
098	061	017	StBrass2
099	061	016	StBigBrs
099	061	017	EnhBrSec
097	066	016	BrthTenr
098	066	016	BlowTenr
099	066	016	EnhTenor
097	067	016	BareBari
098	067	016	BariSx v
099	067	016	EnBariSx
097	068	016	Brt Oboe
098	068	016	ClasOboe
099	068	016	Enh.Oboe
097	071	016	BrtClari
098	071	016	JazClari
099	071	016	JzClari2
097	073	016	Flute 2
098	073	016	Flute v
099	073	016	EnhFlute
097	091	016	ChoirPd2
097	091	017	Itopia 2
098	091	016	ChoirPd3
098	091	017	Itopia 3
099	091	016	PhsChoir
099	091	017	PanItpia
