LSB	PRG	MSB	NME
005	004	008	Det.EP 1
005	005	008	Det.EP 2
005	006	008	CplHapsi
005	014	008	ChrchBel
005	016	008	DetDrwOr
005	017	008	DetPrcOr
005	019	008	ChurOrg2
005	021	008	AccordIt
005	024	008	Ukulele
005	025	008	12StrGtr
005	025	016	Mandolin
005	026	008	HawaiiGt
005	027	008	ChorusGt
005	028	008	Funk Gtr
005	030	008	FeedbkGt
005	031	008	GtFeedbk
005	038	008	SynBass3
005	039	008	SynBass4
005	048	008	Orch.Str
005	050	008	Syn.Str3
005	061	008	BrsSect2
005	062	008	SynBras3
005	063	008	SynBras4
005	080	008	SineLead
005	107	008	Taisho
005	115	008	Cascanet
005	116	008	ConcrtBD
005	117	008	MeloTom2
005	118	008	SynthTom
